ID,TOKEN,LEMMA,SENTENCE,VERB SEMANTICS,language,PoS
173.1.123.1.581774_Hdt.,ἐνώρα,ἐνοράω,"Ἀστυάγεα ἐπιθυμέων · ἀπʼ ἑωυτοῦ γὰρ ἐόντος ἰδιώτεω οὐκ ἐνώρα τιμωρίην ἐσομένην ἐς Ἀστυάγεα, Κῦρον δὲ ὁρέων ἐπιτρεφόμενον",01638974-v imagine; conceive of; see in one's mind,Ancient Greek,verb
127.51.227681_Sal.Cat.,invidere,invideo,"hostis idoneum videbatur, cum summo studio domi exsequebantur: imitari quam invidere bonis malebant. Sed eodem illo tempore Graeciae morem imitati verberibus",01831006-v be envious of; set one's heart on,Latin,verb
173.1.108.5.502105_Hdt.,παρεῖδες,παροράω,"ὁ δὲ ἀμείβεται · “ὦ βασιλεῦ, οὔτε ἄλλοτε κω παρεῖδες ἀνδρὶ τῷδε ἄχαρι οὐδέν, φυλασσόμεθα δὲ ἐς σὲ καὶ",02133338-v perceive or be contemporaneous with,Ancient Greek,verb
24.3.695.750642_Ap.Rhod.,ἐσάκουσεν,εἰσακούω,"δʼ αἰνῶς ἄτλητος ἐπέκλυσε θυμὸν ἀνίη δείματι, τοῖʼ ἐσάκουσεν · ἀμείβετο δʼ ὧδʼ ἐπέεσσιν · “Καὶ δʼ αὐτὴ",02174146-v perceive (sound) via the auditory sense,Ancient Greek,verb
24.3.910.800078_Ap.Rhod.,ἐσάκουσεν,εἰσακούω,"ἄπο μοῦνον ἐρύσσας Ἄργος, ὅτʼ ἤδη τήνδε κασιγνήτων ἐσάκουσεν ἠερίην Ἑκάτης ἱερὸν μετὰ νηὸν ἰοῦσαν, ἦγε διὲκ",02174146-v perceive (sound) via the auditory sense,Ancient Greek,verb
127.51.204561_Sal.Cat.,providet,provideo,", ira atque misericordia vacuos esse decet. Haud facile animus verum providet, ubi illa officiunt, neque quisquam omnium lubidini simul et usui parui",02197640-v detect with the senses,Latin,verb
421.1.38.392263_Polyb.,διακούσαντες,διακούω,. Ῥωμαῖοι δὲ τῶν ἐκ τῆς ναυαγίας ἀνακομισθέντων διακούσαντες τὸ κατὰ μέρος βαρέως μὲν ἤνεγκαν τὸ γεγονός · οὐ,"00600349-v get to know or become aware of, usually accidentally",Ancient Greek,verb
77.3.9.7.381973_Caes.Gal.,perspiciebant,perspicio,"navigationem in concluso mari atque in vastissimo atque apertissimo Oceano perspiciebant. His initis consiliis oppida muniunt, frumenta ex","02158938-v discover or determine the existence, presence, or fact of by perception with the eyes",Latin,verb
127.51.208318_Sal.Cat.,providendum,provideo,"quid in illos iure fieri posset, quaerebant. Hoc item vobis providendum est, patres conscripti, ne plus apud vos valeat P. Lentuli et",00664507-v be careful or certain to do something; make certain of something,Latin,verb
93.1067.264094_Pl.Am.,providimus,provideo,"peperisse conspicor; neque nostrum quisquam sensimus, quom peperit, neque providimus. séd quid hoc? quis hic ést senex, qui ante aédis",00721658-v regard something as probable or likely,Latin,verb
4.4.12.409392_Apul.Met.,perspecturus,perspicio,"alienos Lares iam certus erroris abiceret, suspendit se fenestra sagaciter perspecturus omnia, praesertim domus attiguae, ut dixerat illa, fortunas arbitraturus. Quod","02135744-v observe, check out, and look over carefully or inspect",Latin,verb
24.2.920.510237_Ap.Rhod.,ἐσιδόντες,εἰσοράω,καί ῥʼ ὁ μὲν αὖτις ἔδυνε μέγαν ζόφον · οἱ δʼ ἐσιδόντες θάμβησαν · τοὺς δʼ ὦρσε θεοπροπέων ἐπικέλσαι Ἀμπυκίδης Μόψ,02133754-v perceive by sight or have the power to perceive by sight,Ancient Greek,verb
397.23.3.186063_Plut.Alc.,προσέβλεψε,προσβλέπω,ποτε μάγειρον ἐπὶ τῆς οἰκίας οὗτος ἀνὴρ ἔσχεν ἢ προσέβλεψε μυρεψὸν ἢ Μιλησίας ἠνέσχετο θιγεῖν χλανίδος. ἦν,02134989-v perceive with attention; direct one's gaze towards; look,Ancient Greek,verb
77.3.3.1.358432_Caes.Gal.,provisum,provideo,"plene essent perfectae neque de frumento reliquoque commeatu satis esset provisum quod deditione facta obsidibusque acceptis nihil de bello timendum existimaverat,","01185006-v give what is desired or needed, especially support, food or sustenance",Latin,verb
77.2.3.5.241479_Caes.Gal.,consentirent,consentio,"unumque magistratum cum ipsis habeant, deterrere potuerint quin cum iis consentirent. Cum ab iis quaereret quae civitates quantaeque in",00807038-v be in accord; be in agreement,Latin,verb
159.1075.218939_Eur.Med.,προσβλέπειν,προσβλέπω,πνεῦμά θʼ ἥδιστον τέκνων. χωρεῖτε χωρεῖτʼ · οὐκέτʼ εἰμὶ προσβλέπειν οἵα τε † πρὸς ὑμᾶς † ἀλλὰ νικῶμαι κακοῖς. καὶ,02134989-v perceive with attention; direct one's gaze towards; look,Ancient Greek,verb
9.800.152209_Aesch.PV.,εἰσιδὼν,εἰσοράω,"κατάπτεροι, δρακοντόμαλλοι Γοργόνες βροτοστυγεῖς, ἃς θνητὸς οὐδεὶς εἰσιδὼν ἕξει πνοάς. τοιοῦτο μέν σοι τοῦτο φρούριον λέγω · ἄλλην",02134989-v perceive with attention; direct one's gaze towards; look,Ancient Greek,verb
173.1.152.3.698054_Hdt.,περιοψομένων,περιοράω,"τῆς Ἑλλάδος μηδεμίαν πόλιν σιναμωρέειν, ὡς αὐτῶν οὐ περιοψομένων. ταῦτα εἰπόντος τοῦ κήρυκος, λέγεται",00804608-v allow the presence of or allow (an activity) without opposing or prohibiting,Ancient Greek,verb
54.64.508102_Arist.Ath.Pol.,ὑπακούσας,ὑπακούω,"ἐμπήκτης εἰς τὸν ἀριθμόν. ὁ δὲ κληθεὶς καὶ ὑπακούσας ἕλκει βάλανον ἐκ τῆς ὑδρίας, καὶ ὀρέξας αὐτήν, ἀνέχων","02547977-v act in accordance with someone's rules, commands, or wishes",Ancient Greek,verb
140.11.34.3.639187_Diod.Sic.,διακούσαντες,διακούω,"περὶ τὸν Λεωτυχίδην συνεδρεύσαντες μετὰ τῶν ἡγεμόνων καὶ διακούσαντες τῶν Σαμίων ἔκριναν ἐλευθεροῦν τὰς πόλεις, καὶ κατὰ",02174625-v listen to every detail and give a full hearing to,Ancient Greek,verb
197.11.580.1402850_Hom.Od.,εἰσεῖδον,εἰσοράω,διὰ καλλιχόρου Πανοπῆος. “καὶ μὴν Τάνταλον εἰσεῖδον κρατέρʼ ἄλγεʼ ἔχοντα ἑστεῶτʼ ἐν λίμνῃ · ἡ δὲ πρ,02133754-v perceive by sight or have the power to perceive by sight,Ancient Greek,verb
52.1150.247023_Ar.Thesm.,εἰσορᾶν,εἰσοράω,", ἄλσος ἐς ὑμέτερον, οὗ δὴ ἀνδράσιν οὐ θέμις εἰσορᾶν ὄργια σεμνὰ θεοῖν, ἵνα λαμπάσι φαίνετον ἄμβροτον ὄψιν.",02134625-v see with attention,Latin,verb
79.1.41.5.350670_Liv.,inspectum,inspicio,; ferrum haud alte in corpus descendisse; iam ad se redisse; inspectum uolnus absterso cruore; omnia salubria esse; confidere propediem ipsum eos,"02135744-v observe, check out, and look over carefully or inspect",Latin,verb
181.6.555.823533_Verg.A.,exaudiri,exaudio,", palla succincta cruenta, vestibulum exsomnis servat noctesque diesque, Hinc exaudiri gemitus, et saeva sonare verbera; tum stridor ferri, tractaeque catenae.",02174146-v perceive (sound) via the auditory sense,Latin,verb
4.2.5.130544_Apul.Met.,provisum,provideo,", ut anxie tibi metuo et ut pote pignori meo longe provisum cupio; eave tibi, sed eave fortiter, a malis artibus et facinorosis",00722732-v realize beforehand,Latin,verb
41.3.20.272551_Cic.Catil.,conspiceret,conspicio,"quod videtis solis ortum et forum curiamque conspiceret, fore ut ea consilia quae clam essent inita contra salutem urbis",02727841-v be oriented in a certain direction,Latin,verb
4.4.12.408327_Apul.Met.,prospicit,prospicio,"miserrimae anus donas vicinis divitibus, quorum haec fenestra domum prospicit? Quo sermone callido deceptus astu, et vera quae dicta sunt creden",02727841-v be oriented in a certain direction,Latin,verb
54.34.272538_Arist.Ath.Pol.,ὑπήκουσεν,ὑπακούω,"εἰρήνην ἄγειν, ἔνιοι μὲν ἐσπούδαζον, τὸ δὲ πλῆθος οὐχ ὑπήκουσεν ἐξαπατηθέντες ὑπὸ Κλεοφῶντος, ὃς ἐκώλυσε γενέσθαι τὴν εἰρήνην,",00799359-v give an affirmative reply to; respond favorably to,Ancient Greek,verb
139.2.32.3.333667_Sen.Ira.,despicere,despicio,"? "" Immo multum boni; coepit Catonem nosse. Magni animi est iniurias despicere; ultionis contumeliosissimum genus est non esse visum dignum, ex quo",01832012-v regard with contempt,Latin,verb
166.1.38.136804_Tac.Hist.,aspexerit,aspicio,"una cohors togata defendit nunc Galbam sed detinet: cum vos aspexerit, cum signum meum acceperit, hoc solum erit certamen, quis mihi pluri",02158742-v catch sight of,Latin,verb
197.8.170.879704_Hom.Od.,εἰσορόωσιν,εἰσοράω,"πρέπει ἀγρομένοισιν, ἐρχόμενον δʼ ἀνὰ ἄστυ θεὸν ὣς εἰσορόωσιν. ἄλλος δʼ αὖ εἶδος μὲν ἀλίγκιος ἀθανάτοισιν, ἀλλ",02169125-v look at with admiration,Ancient Greek,verb
127.52.231670_Sal.Cat.,adsentiebantur,assentior,"Postquam Caesar dicundi finem fecit, ceteri verbo alius alii varie adsentiebantur. At M. Porcius Cato rogatus sententiam huiusce modi orationem habuit: """,00807038-v be in accord; be in agreement,Latin,verb
139.1.12.5.83510_Sen.Ira.,providentem,provideo,", amicis, civibus prodire defensorem ipso officio ducente, volentem, iudicantem, providentem, non impulsum et rabidum. Nullus enim affectus vindicandi cupidior est",00722732-v realize beforehand,Latin,verb
197.6.230.727874_Hom.Od.,εἰσιδέειν,εἰσοράω,"τὸν μὲν Ἀθηναίη θῆκεν Διὸς ἐκγεγαυῖα μείζονά τʼ εἰσιδέειν καὶ πάσσονα, κὰδ δὲ κάρητος οὔλας ἧκε κόμας, ὑα",02134989-v perceive with attention; direct one's gaze towards; look,Ancient Greek,verb
139.3.28.2.550932_Sen.Ira.,circumspicere,circumspicio,"mitigare, rem publicam administrare, transferre in res domesticas operam, quam circumspicere, quid alicui facere possis mali, quod aut dignitati eius aut patri",00651015-v search anxiously,Latin,verb
435.1.82.418437_Thuc.,ἐσακούωσί,εἰσακούω,"καὶ τὰ αὑτῶν ἅμα ἐκποριζώμεθα. καὶ ἢν μὲν ἐσακούωσί τι πρεσβευομένων ἡμῶν, ταῦτα ἄριστα · ἢν δὲ μή, διελθ",02577816-v pay close attention to; give heed to,Ancient Greek,verb
424.5.6832_Soph.Ant.,κεἰσήκουσας,εἰσακούω,πόλει κήρυγμα θεῖναι τὸν στρατηγὸν ἀρτίως; ἔχεις τι κεἰσήκουσας; ἤ σε λανθάνει πρὸς τοὺς φίλους στείχοντα τῶν,"00600349-v get to know or become aware of, usually accidentally",Ancient Greek,verb
9.566.107346_Aesch.PV.,εἰσορῶσα,εἰσοράω,"εἴδωλον Ἄργου γηγενοῦς, ἄλευʼ ἆ δᾶ · φοβοῦμαι τὸν μυριωπὸν εἰσορῶσα βούταν. ὁ δὲ πορεύεται δόλιον ὄμμʼ ἔχων, ὃν οὐδὲ",02133754-v perceive by sight or have the power to perceive by sight,Ancient Greek,verb
4.3.3.254428_Apul.Met.,providere,provideo,"magis congruit sedulo singulos atque universos vos pro dignitate publica providere, ne nefarius homicida tot caedium lanienam, quam cruenter exercuit, impune",00664507-v be careful or certain to do something; make certain of something,Latin,verb
197.3.245.278734_Hom.Od.,εἰσοράασθαι,εἰσοράω,"ἀνάξασθαι γένεʼ ἀνδρῶν · ὥς τέ μοι ἀθάνατος ἰνδάλλεται εἰσοράασθαι. ὦ Νέστορ Νηληϊάδη, σὺ δʼ ἀληθὲς ἐνίσπες · πῶς",02133754-v perceive by sight or have the power to perceive by sight,Ancient Greek,verb
397.36.5.322420_Plut.Alc.,περιορῶντες,περιοράω,", ἀλλὰ πόρρωθεν ἐκ Σηστοῦ τὰ ἐπιτήδεια λαμβάνοντες, καὶ περιορῶντες τὸ ναυτικόν, ὅταν ἐπὶ τῆς γῆς γένηται, πλανώμενον",00804608-v allow the presence of or allow (an activity) without opposing or prohibiting,Ancient Greek,verb
127.17.69661_Sal.Cat.,invisus,invideo,". Licinium Crassum non ignarum eius consili fuisse; quia Cn. Pompeius, invisus ipsi, magnum exercitum ductabat, cuiusvis opes voluisse contra illius potentiam",01778057-v dislike intensely; feel antipathy or aversion towards,Latin,verb
24.1.550.124838_Ap.Rhod.,εἰσορόωσαι,εἰσοράω,"· ἐπʼ ἀκροτάτῃσι δὲ νύμφαι Πηλιάδες κορυφῇσιν ἐθάμβεον εἰσορόωσαι ἔργον Ἀθηναίης Ἰτωνίδος, ἠδὲ καὶ αὐτοὺς ἥρωας χείρεσσι",02133754-v perceive by sight or have the power to perceive by sight,Ancient Greek,verb
77.4.25.6.543665_Caes.Gal.,conspexissent,conspicio,"navi desiluerunt. Hos item ex proximis primi navibus cum conspexissent, subsecuti hostibus adpropinquaverunt. Pugnatum est ab utrisque",02158742-v catch sight of,Latin,verb
13.32.89159_Cic.Amic.,suspicere,suspicio,"dissentiunt; nec mirum; nihil enim altum, nihil magnificum ac divinum suspicere possunt, qui suas omnis cogitationes abiecerunt in rem tam humilem t",02169125-v look at with admiration,Latin,verb
424.1295.259468_Soph.Ant.,προσβλέπω,προσβλέπω,"ἐν χείρεσσιν ἀρτίως τέκνον, τάλας, τὸν δʼ ἔναντα προσβλέπω νεκρόν. φεῦ φεῦ μᾶτερ ἀθλία, φεῦ τέκνον.",02134989-v perceive with attention; direct one's gaze towards; look,Ancient Greek,verb
115.1.11.15.68002_Prop.,perspecta,perspicio,"labi custode puella, perfida communis nec meminisse deos: non quia perspecta non es mihi cognita fama, sed quod in hac omnis parte",00610224-v know the nature or character of,Latin,verb
424.30.11200_Soph.Ant.,εἰσορῶσι,εἰσοράω,", ἐᾶν δʼ ἄκλαυτον, ἄταφον, οἰωνοῖς γλυκὺν θησαυρὸν εἰσορῶσι πρὸς χάριν βορᾶς. τοιαῦτά φασι τὸν ἀγαθὸν Κρέοντα","02135744-v observe, check out, and look over carefully or inspect",Ancient Greek,verb
93.317.69229_Pl.Am.,aspexerit,aspicio,"éxossare cogitat. ultro istunc qui exossat homines. perii, si me aspexerit. Olet homo quidam malo suo. ei, numnam ego",02158742-v catch sight of,Latin,verb
79.2.42.2.836400_Liv.,inuisum,invideo,"ex hostibus est, uendidit Fabius consul ac redegit in publicum. inuisum erat Fabium nomen plebi propter nouissimum consulem; tenuere tamen patres",01778057-v dislike intensely; feel antipathy or aversion towards,Latin,verb
75.1.2.85.43363_Hor.S.,inspiciunt,inspicio,"turpia celet. regibus hic mos est, ubi equos mercantur: opertos inspiciunt, ne si facies, ut saepe, decora molli fulta pede est, emptor","02135744-v observe, check out, and look over carefully or inspect",Latin,verb
24.2.265.365610_Ap.Rhod.,ἐσιδόντες,εἰσοράω,νεφέων ἐξάλμεναι ἐσσεύοντο κλαγγῇ μαιμώωσαι ἐδητύος · οἱ δʼ ἐσιδόντες ἥρωες μεσσηγὺς ἀνίαχον · αἱ δʼ ἅμʼ ἀυτῇ πάντα,02158742-v catch sight of,Ancient Greek,verb
127.7.32423_Sal.Cat.,conspici,conspicio,"certamen inter ipsos erat: se quisque hostem ferire, murum ascendere, conspici, dum tale facinus faceret, properabat. Eas divitias, eam bonam famam ma",02154940-v look attentively,Latin,verb
105.804.184090_Pl.Mos.,Inspicere,inspicio,"advenisse peregre gaudeo, Theopropides. Dei te ament. Inspicere te aedis has velle aiebat mihi. Nisi tibi est inco","02135744-v observe, check out, and look over carefully or inspect",Latin,verb
435.1.143.749926_Thuc.,ὑπακούσεσθε,ὑπακούω,καὶ δεῖξαι Πελοποννησίοις ὅτι τούτων γε ἕνεκα οὐχ ὑπακούσεσθε. “πολλὰ δὲ καὶ ἄλλα ἔχω,02548492-v be obedient to,Ancient Greek,verb
140.11.40.1.689692_Diod.Sic.,ὑπακουσάντων,ὑπακούω,"κρατήσειν αὐτοὺς ἀπεφαίνετο τῆς προθέσεως. ὑπακουσάντων δὲ τῶν Ἀθηναίων, οἱ μὲν περὶ τὸν Θεμιστοκλέα πρέ","00766267-v consent or assent to a condition, or agree to do something",Ancient Greek,verb
9.552.104638_Aesch.PV.,προσιδοῦσʼ,προσοράω,"βουλαί. ἔμαθον τάδε σὰς προσιδοῦσʼ ὀλο - ὰς τύχας, Προμηθεῦ. τὸ διαμφίδιον δέ μοι μέλος",00592510-v perceive (an idea or situation) mentally,Ancient Greek,verb
